ID	suid	RNA_ng_per_ul	Box
19291X166	150014	96.3	3
19291X167	150015	137.9	3
19291X168	150019	109.8	3
19291X169	150020	144.6	3
19291X170	150021	163.9	3
19291X171	150023	113.3	3
19291X172	150027	154.2	3
19291X173	150042	214.8	3
19291X174	150043	28.3	3
19291X175	150051	82.2	3
19291X176	150056	133	3
19291X177	150065	205.8	3
19291X178	150078	56.4	3
19291X179	150082	111	3
19291X180	150087	274.1	3
19291X181	150089	84.1	3
19291X182	150102	248.9	3
19291X183	150109	241.7	3
19291X184	150128	136.2	3
19291X185	150133	239.1	3
19291X186	150161	120.2	3
19291X187	150163	231.4	3
19291X188	150173	156.8	3
19291X189	161023	606.7	3
19291X190	161025	191.9	3
19291X191	161040	89.6	3
19291X192	161058	418.7	3
19291X193	161063	12.8	3
19291X194	161076	133.2	3
19291X195	161077	437.6	3
19291X196	161084	161.2	3
19291X197	161090	135.2	3
19291X198	161095	148.7	3
19291X199	161097	256.3	3
19291X200	161115	164.3	3
19291X201	161118	228.6	3
19291X202	161126	452.1	3
19291X203	161135	230.8	3
19291X204	161173	107.3	3
19291X205	161181	186.3	3
19291X206	161202	74.8	3
19291X207	161203	96.1	3
19291X208	161207	178.4	3
19291X209	161208	160	3
19291X210	161209	188.6	3
19291X211	161213	139.9	3
19291X212	161217	101.8	3
19291X213	161218	181.1	3
19291X214	170007	140.4	3
19291X215	170010	118.8	3
19291X216	170041	194.4	3
19291X217	170042	299.7	3
19291X218	170046	22.3	3
19291X219	170053	163.6	3
19291X220	170070	138.1	3
19291X221	170108	268.6	3
19291X222	170110	244.6	3
19291X223	170176	352.1	3
19291X224	170214	183	3
19291X225	180002	593.5	3
19291X226	180003	360	3
19291X227	180007	105.5	3
19291X228	180008	281	3
19291X229	180010	325.1	3
19291X230	180013	448.2	3
19291X231	180014	450.7	3
19291X232	180015	257.2	3
19291X233	180025	158.6	3
19291X234	180028	211.7	3
19291X235	180031	442	4
19291X236	180035	103.8	4
19291X237	180036	185.5	4
19291X238	180037	103	4
19291X239	180038	770.5	4
19291X240	180041	117.5	4
19291X241	180044	221.2	4
19291X242	180045	167.1	4
19291X243	180046	299	4
19291X244	180047	215.9	4
19291X245	180053	390.6	4
19291X246	180058	123.1	4
19291X247	180059	78.2	4
19291X248	181810	285.4	4
19291X249	190001	435.5	4
19291X250	190002	7.3	4
19291X251	190009	39.5	4
19291X252	190010	129.2	4
19291X253	190023	613.3	4
19291X254	190032	95.3	4
19291X255	190041	127.1	4
19291X256	190045	151.4	4
19291X257	190047	63.8	4
19291X258	190059	207.7	4
19291X259	190080	39.6	4
19291X260	190086	105.3	4
19291X261	190100	620.5	4
19291X262	190107	87	4
19291X263	190118	299.5	4
19291X264	190120	769.1	4
19291X265	190140	668.2	4
19291X266	190141	457.4	4
19291X267	190153	558.7	4
19291X268	190154	62.9	4
19291X269	190156	372.5	4
19291X270	190163	160.2	4
19291X271	190164	255.7	4
19291X272	190165	385.6	4
19291X273	190166	198.6	4
19291X274	190167	185.7	4
19291X275	190175	142.9	4
19291X276	190176	23.9	4
19291X277	190183	37.2	4
19291X278	190191	163.9	4
19291X279	190197	166.9	4
19291X280	190201	259.9	4
19291X281	190208	144.9	4
19291X282	190214	218.9	4
19291X283	190216	114.7	4
19291X284	310001	129.6	4
19291X285	310016	155.5	4
19291X286	310036	155.2	4
19291X287	310049	149	4
19291X288	310085	136.7	4
19291X289	310104	188.1	4
19291X290	310110	345.6	4
19291X291	310121	224.8	4
19291X292	310132	186.2	4
19291X293	310140	171.3	4
19291X294	310146	613.2	4
19291X295	310163	259	4
19291X296	310176	193.2	4
19291X297	310196	155	4
19291X298	310254	153.3	4
19291X299	310266	178.2	4
19291X300	320004	118.8	4
19291X301	320012	197.7	4
19291X302	320025	230.9	4
19291X303	320031	182.6	4
19291X304	320043	168.3	4
19291X305	320047	721.5	4
19291X306	320051	44.1	4
